rank,split,file,csv_line,word_like_tokens,distance_from_1000,Constructiveness,Toxicity,Title,Topic,Comment
1,train,ViCTSD Dataset\ViCTSD_train.csv,2651,422,578,1,0,Bài toán công nghệ sạch khi làm điện mặt trời nổi,KhoaHoc,"Điện mặt trời cũng như năng lượng tái tạo phải đi kèm với phát triển công nghệ sử dụng hydro, là kênh lưu trữ và phân phối năng lượng. Bây giờ và vài thập kỷ tới là thời của hydro. Năng lượng tái tạo, điện mặt trời cũng giống như sản phẩm thực phẩm ở một số so sánh. Nếu không có công nghệ lưu trữ bảo quản và phân phối thực phẩm (giữ lạnh, đóng gói, chất bảo quản, sấy khô, vận tải vv ..), thì việc sản xuất thực phẩm sẽ nhanh chóng thành kém hiệu quả và nhanh chóng đi vào ngõ cụt, vì sản xuất ra thực phẩm nhưng không biết lưu bảo quản và phân phối. Tương tự vậy, năng lượng tái tạo là nguồn thất thường, cần phải được lưu trữ trong nhiên liệu hydro (dùng năng lượng tái tạo để sản xuất hydro), và được phân phối thông qua bán nhiên liệu hydro. Vì vậy, sẽ không có ""năng lượng tái tạo"" hiệu quả, mà chỉ có ""NĂNG LƯỢNG TÁI TẠO VÀ HYDRO"". Nếu VN sản xuất các bình khí nén hydro nhỏ kích thước tiêu chuẩn (5-20lít) cho xe hai bánh, phân phối bình hydro qua hệ thống tạp hóa như kiểu đổi bình ga mini, thì thậm chí mức giá nhiên liệu hydro 8usd/kg hydro trong bình khí nén (mức giá rất hời cho ngành sản xuất hydro) cũng đảm bảo rằng, xe điện hydro hai bánh sẽ tiết kiệm hơn hay bằng chi phí di chuyển so với xe xăng. Bản thân giá xe hai bánh hydro cũng không cao hơn giá xe máy điệ̣n+pin lithium."
2,valid,ViCTSD Dataset\ViCTSD_valid.csv,1329,343,657,1,0,Chương trình mới không ép học tiếng Việt nhanh',GiaoDuc,"Cháu chào GS ạ!Cháu có con trai năm nay đang học lớp 1 và bộ sách trường con cháu học là bộ phát triển năng lực, theo cháu nhìn nhận là chương trình trong sách tiếng việt là quá nặng. Mặc dù theo GS giải thích thì có thể nặng do phía giáo viên tự tạo ra cho học sinh nhưng phía phụ huynh như chúng cháu không biết cách nào để giải quyết vấn đề này. Ví dụ: ở Tuần 4 các cháu đã phải đọc cả đoạn văn và hiểu cả đoạn văn để trả lời câu hỏi bên dưới, nếu khả năng đọc của các cháu chưa đọc đc cả đoạn văn mà chỉ có thể đọc từng từ thì làm sao con có thể hiểu đoạn văn để trả lời câu hỏi. Còn vấn đề chữ viết cháu thấy nhà trường vẫn chấm thi đua vở sạch chữ đẹp nên các cháu về nhà vẫn phải luyện viết rất nhiều. Như con của cháu, cháu thấy thời gian con học bài ở nhà còn nhiều hơn thời cháu học cấp 3. Con đi học ở Trường về đến nhà là 17h10 con chỉ được nghỉ ngơi một chút 18h00 cháu đã lên nhà tự ngồi luyện chữ đến 19h00 mới xuống tắm rửa ăn cơm (còn không có thời gian cho con chơi, vận động thể thao). Tối ăn xong thì luyện đọc từ 20h30 đến 22h00 thì mới quay sang làm bài tập toán hoặc các môn khác nếu chưa hoàn thành ở lớp thành ra con thường đi ngủ lúc 22h30. GS nói gia đình không nên làm hộ việc của giáo viên nhưng cháu thấy cứ hôm nào vì lý do nào đó con học ít hơn là mai kiểu gì cũng bị cô giáo kêu là con hôm nay đọc kém. Vây để không gánh nặng cho học sinh thì phía phụ huynh như chúng cháu cần làm những gì và có thể làm được gì để giúp con hoàn thành chương trình học."
3,train,ViCTSD Dataset\ViCTSD_train.csv,6938,337,663,1,0,Bầu Đức muốn gì khi thay HLV?,TheThao,"HAGL buộc phải thắng TPHCM nếu họ muốn tự quyết định số phận của mình. Nếu họ chỉ có 1 điểm và với hiệu số không tốt (-2) thì họ hoàn toàn có thể bị Đà Nẵng (+4), Hà Tĩnh (+1) hay thậm chí là SLNA (-4) vượt qua. Thế nên bầu Đức thay tướng lúc này là hợp lý. Người ta hay nói ""thay tướng đổi vận"" nên sau khi thay tướng, có thắng trận gặp TPHCM cũng không ai xì xào.TPHCM đang có tâm lý cực kì hưng phấn sau khi thắng Nam Định 5-1 nhưng mình nghĩ trận này HAGL sẽ có điểm, thậm chí là một chiến thắng tưng bừng để chắc suất vào top8.Nhiều người cứ nghĩ HAGL chỉ ""đá cho vui"" như ông bầu tuyên bố. Nhưng chỉ ""đá cho vui thì mua tiền đạo, hậu vệ ngoại như Rimario, Walsh, Kelly, Memovic... (dù biết các cầu thủ này sẽ làm cho các cầu thủ nội của lò HAGL ngồi ghế dự bị, không được thi đấu) hoặc thay HLV liên tục để làm gì vậy nhỉ?Bài báo có một đoạn rất hay thể hiện sự thay đổi lớn trong cách chơi của HAGL mùa này: ""Đến nay, HAGL mới ghi 12 bàn nhưng vẫn kiếm được bốn chiến thắng và năm trận hòa, cùng ba trận thua. Những con số này cho thấy họ đã thực dụng hơn rất nhiều chứ không phải ""đá đẹp, thua cũng được"". Để ý con số thống kê năm nay HAGL ghi số bàn thắng ít thứ 5, số thẻ vàng đứng thứ 7 trong 14 đội VL. Cho thấy họ đã chú trọng vào sự thực dụng hơn mọi năm trước chứ không phải mác ""đá đẹp, thua cũng sướng"". như mọi năm.Cũng hi vọng bầu Đức tính đúng, chứ sau mùa 2020 lại để cầu thủ viết stt ""Dành cả thanh xuân để trụ hạng"" hay ""Về Bình Dương là có huy chương"" cũng thấy tồi tội."
4,train,ViCTSD Dataset\ViCTSD_train.csv,1024,336,664,1,0,Chưa lập gia đình có nên mua bảo hiểm nhân thọ?,KinhDoanh,"tham gia BHNT rất tốt bạn nên tham gia lúc còn trẻ vì phí tham gia ít nhưng số tiền được bảo hiểm cao, nếu bạn để vài năm nữa mới tham gia thì phí sẽ tăng hơn mà số tiền được bảo hiểm lại không còn vào thời điểm hiện tại, bởi vì, 1 hợp đồng BHNT thì trị giá của hợp đồng phụ thuộc các yếu tố của người được bảo hiểm: (i) tuổi, tuổi càng lớn thì phí bảo hiểm càng cao; (ii) giới tính, (iii) nghề nghiệp, do có những ngành nghề nguy hiểm => phí bảo hiểm sẽ cao;BHNT nên mua lúc chưa cần vì khi tới lúc bạn muốn mua thì có thể công ty BH sẽ từ chối bán cho dù bạn có trả phí cao; để cân bằng và không áp lực cho người tham gia BHNT bạn chỉ nên trích 10%-15% thu nhập của bạn để tham bảo hiểm, ví dụ thu nhập hàng tháng của bạn là 10 triệu => 1 năm thu nhập của bạn là 120 triệu thì bạn chỉ nên dành 12-18 triệu/năm (để dành 1 - 1,5 triệu/tháng) để tham gia BHNT; sau này nếu như thu nhập bạn tăng thêm và có nhu cầu bảo vệ cao hơn thì bạn tham gia thêm 1 hay nhiều hợp đồng; sau thời gian bạn cam kết đóng phí với công ty bảo hiểm (ví dụ: bạn cam kết đóng phí 10 năm cho hợp đồng của bạn thì ít nhất sau 10 năm bạn sẽ được nhận lại toàn số phí bảo hiểm bạn đã đóng + 1 khoản lãi nhỏ);bạn nên hạn chế so sánh bảo hiểm nhân thọ với gửi tiết kiệm, bởi vì 02 loại hình này bản chất khác nhau hoàn toàn, 1 cái là tiết kiệm có bảo vệ (bảo hiểm nhân thọ) 1 cái là tiết kiệm nhưng không có bảo vệ (gửi tiết kiệm) nên mua BHNT có LỢI chứ không LỜI đâu."
5,test,ViCTSD Dataset\ViCTSD_test.csv,796,336,664,1,0,Christopher Nolan - 'phù thủy' thời gian,GiaiTri,"cho mọi người chưa hiểu hết về nội dung bộ phim: Các bạn có thể hiểu Neil chính là Max( con trai của Kat và Sator) quay ngược quá khứ trở về để cứu nhân vật chính và mẹ mình. Bằng chứng là Neil biết mọi thứ về nhân vật chính và anh có nói rằng chúng ta đã biết nhau trong một thời gian dài với nhân vật chính; và hơn nữa anh sẵn sàng hi sinh mạng sống của mình để cứu Kat- một người anh mới gặp, khi Neil và nhân vật chính thực hiện cú nhảy thời gian đưa Kat quay trở về căn phòng ở viện bảo tàng tranh lúc máy bay nổ để đảo ngược vết thương của Kat bằng cỗ máy đảo ngược. Qua đó ta có thể thấy Kat phải là một người vô cùng quan trọng và gần gũi với Neil. Khi bắt đầu bấm máy bộ phim, Robert Pattison phải nhuộm màu tóc thành màu vàng để khớp với màu tóc của cậu bé Max. Xuyên suốt bộ phim, Kat luôn luôn nói về cậu con trai bé nhỏ của mình nhưng chúng ta gần như không hề nhìn thấy mặt cậu bé và chỉ có duy nhất một cảnh quay về cậu trong cả bộ phim- điều này ngụ ý rằng cậu con trai mà cô nói tới đứng ngay trước mắt cô với một phiên bản trưởng thành. Đoạn kết phim, nhân vật chính điềm tĩnh và trìu mến dõi theo hình bóng hai mẹ con dắt tay nhau đi, cảnh này giống như ẩn dụ rằng tình bạn của họ bắt đầu từ đó- khớp với lời Neil nói rằng tình bạn của họ đã có từ rất lâu. Vậy là cả bộ phim nói về hành trình đi ngược về quá khứ để cứu mẹ và nhân vật chính của Neil và đáng tiếc rằng anh cũng đã hi sinh mạng sống của mình khi đỡ đạn thay cho nhân vật chính."
6,valid,ViCTSD Dataset\ViCTSD_valid.csv,806,333,667,1,0,Băng ca áp lực âm 'made in VietNam',KhoaHoc,"Tuyệt vời, chúc mừng các KS ĐH Bách khoa! Nhân đây tôi muốn chia sẻ để các bạn tham khảo:1) Về lọc Virus:- Màng lọc HEPA chỉ lọc được đến 0.3 µm (hiệu quả 99.99% với loại lọc tốt nhất), màng lọc ULPA chỉ lọc được đến 0.12 µm (hiệu quả 99.99% với loại lọc tốt nhất). Tuy nhiên, kích thước trung bình cùa Virus là 0.02 µm - 0.4 µm, trong đó Virus Corona có kích thước là 0.06 µm - 0.14 µm - kích thước này nhỏ hơn kích thước của màng học HEPA hay ULPA.2) Về tiêu diệt Virus:- Đèn UV có thể thay đổi cấu trúc DNA hay DNR của Virus để Virus không còn hại. Tuy nhiên, phải cần thời gian khởi động để đèn có thể hoạt động hiệu quả; hiệu quả của đèn bị ảnh hưởng khi bị cản sáng/che phủ bởi các hạt siêu mịn trong không khí. Vi sinh vật vẫn còn sống và vẫn có thể hồi phục để trở thành độc hại.3) Về Vi Sinh vật vẫn còn sống:- Qua màng lọc HEPA hay ULPA, các Vi khuẩn và Virus mắc lại vẫn còn sống và sinh sôi. Điều này dẫn đến khi thay lọc phải có quy trình rất chặt chẽ và khử trùng thật kỹ để Vi khuẩn và Virus không lây lan tới con người và môi trường.4) Về màng lọc công nghệ DFS:- Màng lọc công nghệ DFS loại bỏ được tất cả các hạt nhỏ tới 0.007 µm (hiệu quả 100%) - nhỏ hơn rất nhiều kích thước trung bình của các Virus, bao gồm cả Virus Corona.- DFS sử dụng Tấm năng lượng điện cao tiêu diệt hoàn toàn Vi Sinh vật, Vi Sinh vật đã chết, không còn sống và sinh sôi trên màng lọc.- DFS được chúng nhận bởi các Tổ chức nghiên cứu độc lâp và uy tín trên thế giới.Thân, Dzũng"
7,train,ViCTSD Dataset\ViCTSD_train.csv,5601,332,668,1,0,Chương trình mới không ép học tiếng Việt nhanh',GiaoDuc,"Ủng hộ VNEXPRESS có bài viết để Giáo sư-tác giả Thuyết có cơ hội giải trình và phản biện.Riêng ý kiến cá nhân tôi không đồng tình với quan điểm của tác giả ở một số điểm như sau:1. Chương trình học không thể hoàn tất trong 10 tiết/ tuần thì có thể giảm nội dung cần giảng dạy chứ không chỉ có cách tăng 20% số tiết học.2. Đa số sỉ số mỗi lớp học hiện nay trên 40 em thì sách và chương trình học phải phù hợp với điều kiện hiện tại. Hy vọng 10 năm tới mỗi lớp sẽ chỉ có 30 em học sinh. Chương trình và sách giáo khoa phải song hành vì đây là phương tiện tương tác cơ bản giữa học sinh và giáo viên.3. Giáo dục định hướng phổ thông nhưng có rất nhiều phụ huynh, giáo viên ở thành thị phản ánh chương trình học nặng, còn những miền xa, miền núi thì sẽ thế nào? Sự cảm thán cũng đã diễn ra nhiều năm.4. Việc học hết 29 chữ cái là căn bản, nhưng nội dung các câu chữ trong bài học, 140 vần tiếng Việt có thể làm khó và nặng nhiều học sinh chưa học vỡ lòng, Xin đề nghị nhiều vần phức tạp chỉ liệt kê ở các trang cuối sách giáo khoa, các em tiếp xúc thì dần cũng có thể quen sau này giống như học ngoại ngữ.5. Tiếng Việt là căn bản, các môn học khác phải dựa trên khả năng tiếng Việt của học sinh để thiết kế chương trình. Đề nghị không vì để học các môn học khác mà tăng nặng chương trình, bỏ đi cơ hội tương tác tư duy ngôn ngữ của các em hay gây áp lực lớn cho gần nửa số học sinh có mức phát triển trí óc thông thường.Chân thành cám ơn Giáo sư Thuyết và mọi người."
8,train,ViCTSD Dataset\ViCTSD_train.csv,1741,320,680,1,0,500 triệu nên mua Attrage hay Vios?,OtoXemay,"Với túi tiền khoảng tầm trên dưới 500 triệu thì bạn có thể chọn cho mình 1 chiếc xe sedan ưng ý như sau:1. Suzuki Ciaz 2020 (giá lăn bánh khoảng 570 triệu. Ưu: Thiết kế hiện đại, đẹp, rất sang trọng, tiết kiệm nhiên liệu, động cơ bền bỉ. Nhược: Mất giá khi bán lại xe cũ, phụ tùng thay thế khan hiếm, cao)2. Nissan Sunny XT-Q 1.5AT (giá lăn bánh khoảng 550 triệu. Ưu: Thiết kế hiện đại, đẹp, sang trọng, tiết kiệm nhiên liệu, động cơ bền bỉ. Nhược: Mất giá khi bán lại xe cũ, phụ tùng thay thế khan hiếm, cao)3. Mitsubishi Attrage 2020 Full (giá lăn bánh khoảng 530 triệu. Ưu: Thiết kế hiện đại, đẹp, tiết kiệm nhiên liệu, động cơ bền bỉ. Nhược: Mất giá khi bán lại xe cũ, phụ tùng thay thế khan hiếm, cao)4. Toyota Vios 1.5E 5MT (giá lăn bánh khoảng 570 triệu. Ưu: Thiết kế đẹp, cân đối, tiết kiệm nhiên liệu, động cơ bền bỉ, bán lại xe cũ ít mất giá, dễ bán, phụ tùng thay thế dễ tìm, giá rẻ. Nhược: nhiều người chê là thùng tôn).Nói chung, các hãng xe đều có điểm ưu và điểm nhược, đẹp với người này nhưng lại xấu với người khác. Vì vậy, nếu bạn thấy xe nào đẹp, ưng cái bụng thì mua thôi. Mua 1 chiếc xe mới của 1 trong 4 hãng xe Nhật nêu trên để sử dụng gia đình thì bạn đi trong 10 năm, số km đi được là 150.000 km, bảo trì bảo dưỡng tốt, không bị tai nạn, ngập nước thì xe không bị hư hỏng bất cứ 1 thứ gì ngoài thay lọc gió, lọc dầu, lốp và 1 số linh kiện lặt vặt rẻ tiền khác. Vì vậy, bạn yên tâm mà mua xe mới để sử dụng."
9,train,ViCTSD Dataset\ViCTSD_train.csv,3275,317,683,0,0,20 năm Lionel Messi gắn bó với Barca,TheThao,"Messi là một siêu sao bóng đá, không phải bàn cãi! Nhưng không phải người duy nhất là siêu sao, chắc chắn rồi! Khác biệt của cậu ta là giữ phong độ cao trong một thời gian dài, bởi vậy cậu ta có nhiều danh hiệu cá nhân hơn những ngôi sao khác! Còn theo tôi, mỗi cầu thủ đều có cái hay riêng, và tất cả những người đoạt quả bóng vàng đều là những siêu sao tấn công, tôi thấy bất công cho các thủ môn và cầu thủ phòng ngự, dường như họ chẳng bao giờ có cơ hội sở hữu giày vàng hoặc bóng vàng! Messi chơi ở vị trí số 10 , chắc chắn đó là vị trí dễ săn bàn nhất, cùng với chính sách nuôi dưỡng ngôi sao của Barcelona thì Messi thường không phải mất nhiều sức vì không cần tham gia phòng ngự quá sâu, dành sức cho những tình huống tấn công! Tôi phải công nhận Barcelona rất biết giữ gìn sức khỏe cho trung phong của mình, giúp cậu ấy giành nhiều danh hiệu cá nhân, qua đó nâng cao danh tiếng clb, và tất nhiên, họ sẽ kiếm nhiều tiền hơn! Messi cũng hưởng lợi từ chính sách này, cậu ấy dường như không bao giờ bị đuối sức hoặc chấn thương, và có thể giữ phong độ cao ổn định! Một phần lý do khiến cậu giành nhiều danh hiệu cá nhân hơn những người khác.Còn về trình độ, không có một thước đo chính xác, lúc Luka Modric giành quả bóng vàng thì cậu ấy là đỉnh của thế giới, và Messi và Ronaldo cũng ở dưới gót chân của cậu ấy thôi,nói chung là đẳng cấp bằng nhau, tùy vào hoàn cảnh, đồng đội, chấn thương các kiểu mà một siêu sao có thể có thành tích tốt hoặc không tốt!"
10,train,ViCTSD Dataset\ViCTSD_train.csv,6377,310,690,1,0,20 năm Lionel Messi gắn bó với Barca,TheThao,"Xem đá bóng từ thời Maradona còn đá. Nếu cầu thủ lành lặn hoàn toàn, đỉnh cao phong độ, được đá hết khả năng trong một trận cụ thể (không tính cả mùa) thì mình xếp như sau: 1/ Ronaldo Lima (kĩ thuật cá nhân siêu đẳng, chịu áp lực cực giỏi, luôn toả sáng rực rỡ ở những trận cầu đinh WC 2002, 98 là ví dụ điển hình, riêng năm 98 chung kết bị động kinh không tính, các trận trước thì đá quá hay) , 2/ Maradona (kĩ thuật siêu đẳng, lãnh đạo giỏi, truyền cảm hứng giỏi, tài năng ở Napoly và WC nói lên tất cả, Pele không chấm vì mình ko tận mắt xem ông đá, nhưng người Brazil coi Garrincha hơn ông, vả lại kỷ lục ghi hơn ngàn bàn thắng thuộc giải Brazil không bằng Châu Âu nên không liệt kê Pele vào). 3/ Messi kĩ thuật siêu đẳng, ghi bàn cũng xuất sắc trong Ronaldo chạy nhanh, kĩ năng chọn vị trí ghi bàn xuất sắc mình cho đồng hạng, 4/ Ronaldinho. Còn lại là các anh tài khác. Riêng Ronaldo Lima mình chỉ nói thẳng là anh đá trong thời kì Serie A còn đỉnh cao. Đặc biệt là lối đá Catenacio chém đinh chặt sắt, phòng ngự đổ bê tông. Thời kỳ Ronaldo Lima đá là thời kỳ ngôi sao phòng ngự hằng hà sa số, đẳng cấp cao hơn bây giờ rất nhiều: Maldini, Nesta, Cannavaro,....còn nếu bạn vẫn nói Messi kĩ thuật hơn Ronaldo Lima thì mình mời bạn tìm kiếm clip Mesi đối đầu với ông lão Nesta và clip Ronaldo hành hạ Nesta với Maldini thế nào sẽ biết được ai hơn ai. Xin lỗi nói thẳng. Nếu ko chấn thương cực nặng, Ronaldo Lima là số 1. cầu thủ duy nhất ko có antifan."
